City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
302,Mount Gambier,AU,-37.8333,140.7667,53.6,87,5,5.75,clear sky
303,Cozumel,MX,20.5083,-86.9458,80.6,61,75,12.66,broken clouds
304,Ilulissat,GL,69.2167,-51.1,3.2,60,40,8.05,scattered clouds
305,Orlik,RU,52.5178,99.825,-10.28,81,96,2.19,overcast clouds
306,Skjervoy,NO,70.0311,20.9714,27.9,89,100,10.4,overcast clouds
307,Minna,NG,9.6139,6.5569,95.0,16,0,4.61,clear sky
308,Saint-Georges,GD,12.0564,-61.7485,84.2,61,20,18.41,few clouds
309,Takoradi,GH,4.8845,-1.7554,81.93,77,11,9.15,light rain
310,Bom Jesus,BR,-9.0744,-44.3586,91.51,37,45,8.03,scattered clouds
311,Oistins,BB,13.0667,-59.5333,84.2,61,40,14.97,scattered clouds
312,Tikrit,IQ,34.6071,43.6782,51.67,50,72,2.19,broken clouds
313,Luanda,AO,-8.8368,13.2343,86.0,62,20,9.22,few clouds
314,Hay River,CA,60.8156,-115.7999,-23.8,69,78,3.44,broken clouds
315,Northam,GB,51.0333,-4.2167,42.01,93,100,18.99,light rain
316,Sumenep,ID,-7.0167,113.8667,77.58,86,100,10.58,light rain
317,Ilhabela,BR,-23.7781,-45.3581,83.84,67,50,4.47,scattered clouds
318,Pringsewu,ID,-5.3582,104.9744,72.72,93,97,3.18,overcast clouds
319,Dunedin,NZ,-45.8742,170.5036,54.0,81,21,8.01,few clouds
320,Verkhnyaya Toyma,RU,62.2349,44.9985,22.28,97,100,6.85,overcast clouds
321,Kikwit,CD,-5.041,18.8162,73.67,93,100,3.8,light rain
322,Salinopolis,BR,-0.6136,-47.3561,80.73,85,96,12.55,overcast clouds
323,Mauriti,BR,-7.3892,-38.7744,78.8,83,75,6.13,light rain
324,Panji,ID,-7.7253,114.0995,75.81,85,100,5.17,light rain
325,Beringovskiy,RU,63.05,179.3167,-11.0,91,100,15.39,light snow
326,Caravelas,BR,-17.7125,-39.2481,84.27,57,5,9.62,clear sky
